Time	sum(Output total – Blocks (ZEC)) – Zcash
10.06.2019	162426768499170
11.06.2019	147168783234020
12.06.2019	231586407662348
13.06.2019	208081180931405
14.06.2019	263271096607161
15.06.2019	243711603276073
16.06.2019	362831466846542
17.06.2019	465416499012711
18.06.2019	568870648746078
19.06.2019	511028525895046
20.06.2019	323569962010342
21.06.2019	310245383813999
22.06.2019	339542591049549
23.06.2019	259205305285306
24.06.2019	252457400149496
25.06.2019	254950240915556
26.06.2019	297389583742815
27.06.2019	314436067048472
28.06.2019	297573920364593
29.06.2019	228277829253759
30.06.2019	437452419553652
01.07.2019	448275251569235
02.07.2019	390817429470551
03.07.2019	348077962099735
04.07.2019	391607974977807
05.07.2019	398347414257653
06.07.2019	305952639104262
07.07.2019	226673277289893
08.07.2019	264528481364740
09.07.2019	288703093578505
10.07.2019	357953247027970
11.07.2019	215235667892529
12.07.2019	207399593090440
13.07.2019	201176642164592
14.07.2019	365264924693369
15.07.2019	440528946288610
16.07.2019	384962213997877
17.07.2019	335716493922155
18.07.2019	628582786649643
19.07.2019	278957946448908
20.07.2019	140885801316939
21.07.2019	111466958406840
22.07.2019	110952317021804
23.07.2019	135439066893854
24.07.2019	2584907781632165
25.07.2019	451576007269411
26.07.2019	461567578413578
27.07.2019	434079688255510
28.07.2019	467812939239744
29.07.2019	443378467592580
30.07.2019	451638038797850
31.07.2019	439994949332714
01.08.2019	387217196876184
02.08.2019	365146579507152
03.08.2019	474499390357226
04.08.2019	320844644652669
05.08.2019	400243967958519
06.08.2019	520841646598812
07.08.2019	388147998874575
08.08.2019	446083148320956
09.08.2019	278447148073593
10.08.2019	240140102811321
11.08.2019	216917734972912
12.08.2019	229024951839911
13.08.2019	267402103667975
14.08.2019	340908957113648
15.08.2019	311429131372954
16.08.2019	234762266195514
17.08.2019	176204200149122
18.08.2019	134887277591462
19.08.2019	213211809313608
20.08.2019	159377299644738
21.08.2019	305692179356290
22.08.2019	525723208560818
23.08.2019	454923999649741
24.08.2019	381701698413226
25.08.2019	402180942895733
26.08.2019	479857416608597
27.08.2019	379581221283457
28.08.2019	420594448444244
29.08.2019	467253853407162
30.08.2019	433515992879527
31.08.2019	378633864094330
01.09.2019	396081254220279
02.09.2019	379687478272016
03.09.2019	528871050384205
04.09.2019	388705178380331
05.09.2019	275709918131656
06.09.2019	307414580977752
07.09.2019	258283778103424
08.09.2019	222714349297318
09.09.2019	242212624666812
10.09.2019	247049921903894
11.09.2019	254022536617638
12.09.2019	858975598344497
13.09.2019	123971516924024
14.09.2019	88248641819980
15.09.2019	146942511670341
16.09.2019	147129658280625
17.09.2019	185082588548050
18.09.2019	258727347362511
19.09.2019	186817780645985
20.09.2019	171217858487855
21.09.2019	166223051662286
22.09.2019	135851474571070
23.09.2019	197858385431612
24.09.2019	255709092971929
25.09.2019	397755049766654
26.09.2019	259792873653984
27.09.2019	223930462908320
28.09.2019	196132303687248
29.09.2019	290274847633142
30.09.2019	272007315575978
01.10.2019	143223940687801
