Time	sum(Output total – Blocks (LTC)) – Litecoin
23.03.2013	59761660859290
24.03.2013	80277657664614
25.03.2013	76205368236257
26.03.2013	77939270845211
27.03.2013	72433832114990
28.03.2013	129327895848162
29.03.2013	89930576452303
30.03.2013	102085345503732
31.03.2013	124957691052396
01.04.2013	308831523046726
02.04.2013	360956234755604
03.04.2013	169874179162898
04.04.2013	133384372312915
05.04.2013	159404156610245
06.04.2013	127234969842216
07.04.2013	79054009867268
08.04.2013	112136905359748
09.04.2013	250601618531336
10.04.2013	134351427683682
11.04.2013	275859697043627
12.04.2013	325141261712019
13.04.2013	198553488772576
14.04.2013	158851000170960
15.04.2013	121794222061043
16.04.2013	123552462026690
17.04.2013	142806547536957
18.04.2013	89902016880090
19.04.2013	105446476030253
20.04.2013	75521764985559
21.04.2013	130631727806340
22.04.2013	72629096501750
23.04.2013	983518093690445
24.04.2013	540281696783376
25.04.2013	1296246606334380
26.04.2013	1213404337838022
27.04.2013	983888821474329
28.04.2013	1034331954622538
29.04.2013	838369446901235
30.04.2013	921237647082256
01.05.2013	1783733621126952
02.05.2013	310486246529831
03.05.2013	143748784086793
04.05.2013	191162176957025
05.05.2013	190807110846278
06.05.2013	379149274451595
07.05.2013	273626031254544
08.05.2013	209505184498991
09.05.2013	277107886469687
10.05.2013	242437469418163
11.05.2013	543211523383012
12.05.2013	255822366712323
13.05.2013	218470083359963
14.05.2013	234065582185841
15.05.2013	239180558722568
16.05.2013	224212303348448
17.05.2013	213132211561570
18.05.2013	184880837368710
19.05.2013	173835256288229
20.05.2013	158756354458317
21.05.2013	213757247274552
22.05.2013	203096731639518
23.05.2013	223224114857458
24.05.2013	253520026082487
25.05.2013	197811812348586
26.05.2013	196878375418966
27.05.2013	187879063355335
28.05.2013	182599811654048
29.05.2013	176172548633963
30.05.2013	214067050998886
31.05.2013	214246648039921
01.06.2013	194173241040110
02.06.2013	177537988114903
03.06.2013	188982530950293
04.06.2013	168672439788973
05.06.2013	191846195703931
06.06.2013	158344105287910
07.06.2013	252768341102211
08.06.2013	181516362401902
09.06.2013	179209260820119
10.06.2013	262437076796481
11.06.2013	186715267338359
12.06.2013	187049119175141
13.06.2013	175041701321760
14.06.2013	258063633391234
15.06.2013	144480846831967
16.06.2013	142817749498959
17.06.2013	161949226662620
18.06.2013	153458684777506
19.06.2013	177573358054095
20.06.2013	126592098551377
21.06.2013	115087933992127
22.06.2013	90241494958775
23.06.2013	107837442815627
24.06.2013	105586459546483
25.06.2013	187230959217425
26.06.2013	195886016022325
27.06.2013	167667661368486
28.06.2013	157673247763242
29.06.2013	151245236962185
30.06.2013	153178787289301
01.07.2013	175254025705186
02.07.2013	157685533866991
03.07.2013	146198379209876
04.07.2013	160025121298180
05.07.2013	143342136465442
06.07.2013	145183047137269
07.07.2013	128437046586706
08.07.2013	144613761918357
09.07.2013	138714680374825
10.07.2013	148743968761485
11.07.2013	162445752636716
12.07.2013	145726386285397
13.07.2013	123841819893460
14.07.2013	448065761014840
15.07.2013	148209567437795
16.07.2013	144122162405953
17.07.2013	148581376523082
18.07.2013	136218516109602
19.07.2013	145558542767848
20.07.2013	174442081026178
21.07.2013	121425396735130
22.07.2013	123489140302037
23.07.2013	125354659592504
24.07.2013	137809264336901
25.07.2013	128186204895845
26.07.2013	127613382490702
27.07.2013	104227162976452
28.07.2013	156847781817142
29.07.2013	114622951780389
30.07.2013	153633796845740
31.07.2013	131285801576845
01.08.2013	126671570098976
02.08.2013	117094059345692
03.08.2013	122144312747319
04.08.2013	115801066574448
05.08.2013	147205004017349
06.08.2013	134215248566546
07.08.2013	147334932154472
08.08.2013	187528949716262
09.08.2013	51982523237173
10.08.2013	55212189823980
11.08.2013	34183897938077
12.08.2013	42600617143285
13.08.2013	30119296172661
14.08.2013	86756686225374
15.08.2013	32132056859124
16.08.2013	149321670897595
17.08.2013	20837475717883
18.08.2013	37805463568072
19.08.2013	30490156007992
20.08.2013	28533500619526
21.08.2013	60223037389836
22.08.2013	27501465045716
23.08.2013	40135167609187
24.08.2013	48550576021012
25.08.2013	48765795046589
26.08.2013	37578146945291
27.08.2013	39692174471200
28.08.2013	45153943393813
29.08.2013	30678880335430
30.08.2013	34704118831755
31.08.2013	36103184807288
01.09.2013	33236048359676
02.09.2013	24629581417053
03.09.2013	28105249746347
04.09.2013	59833751721188
05.09.2013	36141993406800
06.09.2013	49243710463626
07.09.2013	46079389758111
08.09.2013	36043998537508
09.09.2013	42521679372494
10.09.2013	32502685874301
11.09.2013	26814713653880
12.09.2013	32530068905083
13.09.2013	31507309195463
14.09.2013	38353749347358
15.09.2013	42845360732136
16.09.2013	32092835320127
17.09.2013	30151147810673
18.09.2013	44553883432316
19.09.2013	21974033483678
20.09.2013	36691251944631
21.09.2013	22328700055031
22.09.2013	27052459801434
23.09.2013	62133949040893
24.09.2013	80635274142344
25.09.2013	50711713167589
26.09.2013	36792529834443
27.09.2013	39780643318019
28.09.2013	78756302912209
29.09.2013	36053787557975
30.09.2013	40431463491306
01.10.2013	31428922526340
02.10.2013	59972616614675
03.10.2013	70042034980051
04.10.2013	49243316141220
05.10.2013	30919758426651
06.10.2013	37055998073977
07.10.2013	30735239101176
08.10.2013	39874743763568
09.10.2013	52227175702238
10.10.2013	73464519219960
11.10.2013	49155398621951
12.10.2013	26839165515891
13.10.2013	51476012410088
14.10.2013	38785840918378
15.10.2013	37724550249658
16.10.2013	40595510309124
17.10.2013	33365021935808
18.10.2013	31845288495528
