Time	sum(Output total – Blocks (DOGE)) – Dogecoin
07.01.2015	-9188612403387275000
08.01.2015	-8382315323199191000
09.01.2015	-5630819658013960000
10.01.2015	8720698013134979000
11.01.2015	5906217457601052000
12.01.2015	6608098802314835000
13.01.2015	3582150506296046600
14.01.2015	3472640687155949000
15.01.2015	7750690626782611000
16.01.2015	-7315280876966070000
17.01.2015	5193037722413987000
18.01.2015	7231120778166277000
19.01.2015	6750713781684707000
20.01.2015	7224800491819759000
21.01.2015	-5035474952151898000
22.01.2015	-6281000059805622000
23.01.2015	7948134305708113000
24.01.2015	6648689664270420000
25.01.2015	8858908556241727000
26.01.2015	-5256889818058070000
27.01.2015	8882304690725691000
28.01.2015	-6156296466555855000
29.01.2015	-4134552413124192000
30.01.2015	-6912829368278026000
31.01.2015	-3792675803016888300
01.02.2015	-7630435051313746000
02.02.2015	5126714280368240000
03.02.2015	5809626707446021000
04.02.2015	6058164795451179000
05.02.2015	5398446286947494000
06.02.2015	1302901512224683800
07.02.2015	1280958057165024300
08.02.2015	1595892850184217900
09.02.2015	1025223483941005200
10.02.2015	583318137115702000
11.02.2015	1321831823278297000
12.02.2015	1275035128368548600
13.02.2015	1728361882298504200
14.02.2015	1790151505175222300
15.02.2015	2925227078327870000
16.02.2015	2645984456691955000
17.02.2015	2277376003986448000
18.02.2015	2783782206948510000
19.02.2015	2562245841334784000
20.02.2015	3851598407317182500
21.02.2015	4427759521544436700
22.02.2015	5772926545171397000
23.02.2015	6240476897677917000
24.02.2015	5476758342805908000
25.02.2015	4726026916665972000
26.02.2015	4062797906497850000
27.02.2015	4237055322042496500
28.02.2015	4309726396459965400
01.03.2015	5148307224308619000
02.03.2015	7031904521891121000
03.03.2015	5677488874464489000
04.03.2015	5202753498510894000
05.03.2015	5404027355434927000
06.03.2015	4784599799073849000
07.03.2015	4524756446464278500
08.03.2015	4168086217593777000
09.03.2015	2411586147120123000
10.03.2015	5500600978180215000
11.03.2015	4838973638574607000
12.03.2015	3188202202081897000
13.03.2015	3657598642094828500
14.03.2015	3238283666786628600
15.03.2015	5366420920643857000
16.03.2015	6605905148779158000
17.03.2015	5254633688142745000
18.03.2015	3073646721716040000
19.03.2015	2585482949190987300
20.03.2015	2452734283684781600
21.03.2015	3248982233508395500
22.03.2015	3295489117593669600
23.03.2015	3891909797676709400
24.03.2015	2820463496138994000
25.03.2015	2212625733084884700
26.03.2015	1671723693679402200
27.03.2015	1712303411965935400
28.03.2015	2048582830993691100
29.03.2015	2582497032192226300
30.03.2015	2837256606010552300
31.03.2015	2380325485104210000
01.04.2015	5012360009909759000
02.04.2015	2919281097601328600
03.04.2015	2718847416773522400
04.04.2015	2141171464140107300
05.04.2015	2158201336915234800
06.04.2015	1266486465695794700
07.04.2015	1510376586223470800
08.04.2015	2908542431384855600
09.04.2015	2455413268193454000
10.04.2015	2468465549571483600
11.04.2015	2129418517783710200
12.04.2015	1691910371305536800
13.04.2015	1838782783236500500
14.04.2015	1993719663253211400
15.04.2015	1655629603351113700
16.04.2015	1739068258803596000
17.04.2015	1616613402021626600
18.04.2015	2228151564590158800
19.04.2015	1913167494573012500
20.04.2015	1754351900567982300
21.04.2015	1007737351769965000
22.04.2015	669757406701943800
23.04.2015	793855363529916700
24.04.2015	841544038195891200
25.04.2015	1358436997672870700
26.04.2015	1880642434528473900
27.04.2015	1627833132741663500
28.04.2015	1340106779286524400
29.04.2015	1503361887663431700
30.04.2015	1554021593221513200
01.05.2015	2189926430974743800
02.05.2015	1618568076864464600
03.05.2015	2418668265069290000
04.05.2015	2623426009785446400
05.05.2015	2222699942204018200
06.05.2015	1733777939956746000
07.05.2015	1650282745767581700
08.05.2015	1615301282354139400
09.05.2015	1700640584431286300
10.05.2015	1832308239616002000
11.05.2015	2442653794848729600
12.05.2015	2058471956567630800
13.05.2015	2066957979245583000
14.05.2015	1495741160294860500
15.05.2015	1272570810972641300
16.05.2015	1745254823487768000
17.05.2015	1609339560163188200
18.05.2015	1119304447510564600
19.05.2015	1213266244280918500
20.05.2015	1401752122693336800
21.05.2015	1506592346080333000
22.05.2015	1849547326468149800
23.05.2015	1797438428676586200
24.05.2015	5081417503440544000
25.05.2015	1996251579915757800
26.05.2015	1996836911449152000
27.05.2015	2470677717221203000
28.05.2015	2603865385039376000
29.05.2015	2609431468618134000
30.05.2015	1909061102704426800
31.05.2015	1429011685538077200
01.06.2015	1740710888174105000
02.06.2015	1731517692365340200
03.06.2015	1740456273222512000
04.06.2015	1474759346086000400
05.06.2015	2031675230056761900
06.06.2015	1379163926234139600
07.06.2015	1534399223614111700
08.06.2015	1334140416127307800
09.06.2015	1184892968157192400
10.06.2015	1474460724553868800
11.06.2015	896082016558962600
12.06.2015	1352956527581538000
13.06.2015	1276504584514991400
14.06.2015	2289500013168964900
15.06.2015	2256899041218246400
16.06.2015	2358997138288928000
17.06.2015	2703593731096438000
18.06.2015	1846452686753180200
19.06.2015	2003343611673084200
20.06.2015	1026781394772845600
21.06.2015	1002006889444439700
22.06.2015	1212422509362262300
23.06.2015	2197315419479089700
24.06.2015	2466392509160162300
25.06.2015	1586609032589804300
26.06.2015	2132301390043278300
27.06.2015	1640706458998503700
28.06.2015	1529360011111113500
29.06.2015	2900562300381662000
30.06.2015	1804105119751539000
01.07.2015	1977799466814348500
02.07.2015	1990510534271453200
03.07.2015	1673264765682543400
04.07.2015	1552288457571061200
05.07.2015	2338262645270588400
06.07.2015	1742289230560815000
07.07.2015	1613958442525317400
08.07.2015	1614357801761323500
09.07.2015	1981261187290129700
10.07.2015	3338191899644748300
11.07.2015	1940400292306562300
12.07.2015	2256910223920653000
13.07.2015	2432195348745826300
14.07.2015	2310263033706487000
15.07.2015	1554793015863655400
16.07.2015	2349157433601306600
17.07.2015	2266492071465048300
18.07.2015	1582311260616283600
19.07.2015	2352980990395687000
20.07.2015	1664000425633221400
21.07.2015	1202513379372788200
22.07.2015	2004979346498535200
23.07.2015	1780529645931078400
24.07.2015	1796660493390563600
25.07.2015	1548113577750819600
26.07.2015	1224671627984760800
27.07.2015	2224166124335817500
28.07.2015	1950788520728506000
29.07.2015	1852664432020989400
30.07.2015	1158466368888728800
31.07.2015	1443094217538422800
01.08.2015	1748960619157945600
02.08.2015	1686229632898087400
03.08.2015	1597531186522270500
04.08.2015	2001502347356010500
05.08.2015	1821753112781734700
06.08.2015	2036735085510666200
07.08.2015	1687473907866777900
08.08.2015	1573908384207917800
09.08.2015	2248007029719476200
10.08.2015	2808454284778195500
11.08.2015	1998362345019569200
12.08.2015	1505472142060964600
13.08.2015	973256940722388200
14.08.2015	1319391652511806200
15.08.2015	1604414792823563300
16.08.2015	1979724795541750000
17.08.2015	2171794208986431000
18.08.2015	1971304297900490000
19.08.2015	1542542457639535400
20.08.2015	1285019045245342500
21.08.2015	1992481530704352800
22.08.2015	1960362969656908800
23.08.2015	2237143549358721500
24.08.2015	1900389675256450300
25.08.2015	1665171144854515200
26.08.2015	1267011604330534100
27.08.2015	1203015159293548300
28.08.2015	1685376319921419800
29.08.2015	2265480321758411800
30.08.2015	2543470295267104000
31.08.2015	2016944059437621200
01.09.2015	1377379108985754600
02.09.2015	1918347599440619300
03.09.2015	2098052197943749600
04.09.2015	1250910494996535800
05.09.2015	1351185155025105400
06.09.2015	2203149626003892500
07.09.2015	1199963613096472800
08.09.2015	1594029925346655200
09.09.2015	1740484428915002600
10.09.2015	2658400312893242000
11.09.2015	1359961266838699800
12.09.2015	1262372286794014500
13.09.2015	1985622852459917300
14.09.2015	2467371019868660700
15.09.2015	1280778832917368600
16.09.2015	1842637552646161200
17.09.2015	2393788138868275700
18.09.2015	2224638350042026500
19.09.2015	1926077945887912200
20.09.2015	1617095520707343000
21.09.2015	2241250665689384000
22.09.2015	2378697195412209000
23.09.2015	1200829670409752600
24.09.2015	1126454173706358000
25.09.2015	1587239600387563800
26.09.2015	1289268894135703000
27.09.2015	1651678206858932500
28.09.2015	1211351941491821800
29.09.2015	2393542947833985000
30.09.2015	1827698825261391000
01.10.2015	1331443736296055800
02.10.2015	1215336170639718000
03.10.2015	1187294245411349800
04.10.2015	2086527704887484400
05.10.2015	1699039833012914200
06.10.2015	1359200915078854100
07.10.2015	1181176560641118000
08.10.2015	1536082014222300200
09.10.2015	1514381623519458000
10.10.2015	1546217210045552600
11.10.2015	1334950534197352000
12.10.2015	785196528199933800
13.10.2015	751132253231241100
14.10.2015	1321731196594640600
15.10.2015	1441821003773784300
16.10.2015	1760255334277531100
17.10.2015	1349826065492465400
18.10.2015	1951126282864388900
19.10.2015	1163750928487255600
20.10.2015	2380502280545480000
21.10.2015	2317808277784688000
22.10.2015	1567748120122249000
23.10.2015	3102829921870937000
24.10.2015	1980745035405959400
25.10.2015	1982734766303999000
26.10.2015	2156005739599160800
27.10.2015	1620539376186235600
28.10.2015	1859643957565259000
29.10.2015	1940349999495012400
30.10.2015	1361171928037559300
31.10.2015	1280148998540993300
01.11.2015	1739677438067915800
02.11.2015	3015216364698432500
03.11.2015	1890766455774410000
04.11.2015	2587558880458061000
05.11.2015	1956651148728262000
06.11.2015	1481694418693247700
07.11.2015	1459763570886791400
08.11.2015	3626218214861970000
09.11.2015	2384762986922455600
10.11.2015	2696953039152637400
11.11.2015	2311755120223802400
12.11.2015	2308196672734553600
13.11.2015	2366407010518683000
14.11.2015	1620394737169700000
15.11.2015	2025129905563699200
16.11.2015	2919476311220280000
17.11.2015	1849704838452877600
18.11.2015	2421030704300595700
19.11.2015	2055816607886558200
20.11.2015	1811149703635043800
21.11.2015	1434680739088919600
22.11.2015	2426081417171904500
23.11.2015	1242869532506812700
24.11.2015	1099479449253079400
25.11.2015	2655741565630453000
26.11.2015	2199418214117261000
27.11.2015	2355833040787023400
28.11.2015	2959963692673613000
29.11.2015	2565829196302594600
30.11.2015	2925337408963192300
01.12.2015	2739075274462827000
02.12.2015	2859692352885375500
03.12.2015	2493653522226514400
04.12.2015	2901022391796804600
05.12.2015	3415200218339764700
06.12.2015	3362941129287782400
07.12.2015	2608636201300847000
08.12.2015	3355906466515080700
09.12.2015	2757394510599001000
10.12.2015	3739374811874898000
11.12.2015	3636160021542891000
12.12.2015	2639511725846821000
13.12.2015	2837469831273211000
14.12.2015	2248968046863838700
15.12.2015	2920912164776221000
16.12.2015	3039824634920288000
17.12.2015	3170520197301622300
18.12.2015	2453485149936059400
19.12.2015	2756380238938412000
20.12.2015	3139512523957020700
21.12.2015	2918922101404648400
22.12.2015	2710119274531795500
23.12.2015	2396952077714427000
24.12.2015	3159641318064439300
25.12.2015	2540349523451117600
26.12.2015	2892473388465328600
27.12.2015	1654240223050864600
28.12.2015	1858552418337884200
29.12.2015	2857081161083274000
30.12.2015	3321672394382905000
31.12.2015	8861130282625519000
01.01.2016	7773422375050416000
02.01.2016	5352570757811612000
03.01.2016	3414826761105588000
04.01.2016	2879501455038396400
05.01.2016	2445489672899513300
06.01.2016	2086170206125727200
07.01.2016	3504246241467151000
08.01.2016	3857353324432401000
09.01.2016	4802893756846929000
10.01.2016	3123222260345558000
11.01.2016	-7022331923192175000
12.01.2016	-8739844801201746000
13.01.2016	-4175231698235347000
14.01.2016	7122503639996657000
15.01.2016	4473421974870505500
16.01.2016	2432297046513973000
17.01.2016	2525327421176123000
18.01.2016	3338370945987433500
19.01.2016	2370376301336478700
20.01.2016	3077557954266683400
21.01.2016	3473644365193031000
22.01.2016	4450705459202602500
23.01.2016	3252152030106617000
24.01.2016	5193430613647764000
25.01.2016	7164099664803971000
26.01.2016	5330829397011154000
27.01.2016	-556064516091934700
28.01.2016	-6425206445238682000
29.01.2016	7784186553312718000
30.01.2016	7383247552688087000
31.01.2016	5262435821528885000
01.02.2016	6210585668832624000
02.02.2016	4027010777484979700
03.02.2016	3931597860540199000
04.02.2016	4264094946860765700
05.02.2016	4432484175982926300
06.02.2016	6128362869150010000
07.02.2016	5068852248199710000
08.02.2016	5923892406446861000
09.02.2016	4858442412976996000
10.02.2016	3748246257694938000
11.02.2016	5426523212123862000
12.02.2016	6656724983468743000
13.02.2016	3318561594205801500
14.02.2016	2890018329573445000
15.02.2016	4666084846398757000
16.02.2016	4424388206055966700
17.02.2016	3966387427505639000
18.02.2016	5581553814645634000
19.02.2016	4951671620723800000
20.02.2016	2143182784430695000
21.02.2016	3408046591815262000
22.02.2016	7290260689369028000
23.02.2016	4426479521091250000
24.02.2016	2834064967134580700
25.02.2016	2695198472269774300
26.02.2016	4087843834879650300
27.02.2016	2592969496982338600
28.02.2016	4395214666313337000
29.02.2016	4437963281791914500
01.03.2016	3475524099074190000
02.03.2016	2186724477380314000
03.03.2016	2251964051381444000
04.03.2016	4031828405681084400
05.03.2016	4526419983994949600
06.03.2016	2715824713126045700
07.03.2016	4976459096721486000
08.03.2016	2274688723461000200
09.03.2016	5050354362407349000
10.03.2016	3123054341034467000
11.03.2016	1927204345704904400
12.03.2016	4117942378508305400
13.03.2016	2982657877493719600
14.03.2016	2536336774160397000
15.03.2016	1806319406714206000
16.03.2016	2058070408866616300
17.03.2016	2223202442621460200
18.03.2016	2270243460515323400
19.03.2016	2568404293530839600
20.03.2016	3859704927033487000
21.03.2016	2135015640615425800
22.03.2016	2312873792297037300
23.03.2016	2514988316962280000
24.03.2016	1316292458378221000
25.03.2016	2323888767050651000
26.03.2016	2091573773866829000
27.03.2016	1572216513378101500
28.03.2016	3154827834117499000
29.03.2016	3882885770401286700
30.03.2016	2497156030647011300
31.03.2016	1730226531693503000
01.04.2016	2397677392914997000
02.04.2016	2262373350238180900
03.04.2016	1193976080439736000
04.04.2016	2671570706923277300
05.04.2016	2891108048316302300
06.04.2016	7330726946074289000
07.04.2016	7304265987127164000
08.04.2016	2262606775279968000
09.04.2016	2002556389090281200
10.04.2016	2209537953105830000
11.04.2016	4589131983838301000
12.04.2016	6246608975111833000
13.04.2016	2696946707233439000
14.04.2016	3625878452848754000
15.04.2016	3070601274070512000
16.04.2016	3928484117940581400
17.04.2016	5928467966673005000
18.04.2016	2516170606608577000
19.04.2016	2746202684970425300
20.04.2016	1886923816197176800
21.04.2016	2755783250539582500
22.04.2016	2692451243398309000
23.04.2016	2475366509599892500
24.04.2016	2647977402385089500
25.04.2016	4707810212648034000
26.04.2016	3432567054414698000
27.04.2016	1558194922336953900
28.04.2016	2592786165319815000
29.04.2016	2327569969863347700
30.04.2016	2347082001290327000
01.05.2016	1394341416736595200
02.05.2016	1328506612766143000
03.05.2016	1467576123498610000
04.05.2016	2229050896778755300
05.05.2016	1380723657639824600
06.05.2016	1826045689721760300
07.05.2016	4857525161866027000
08.05.2016	3088472224023983000
09.05.2016	3709467471992454700
10.05.2016	2485385030910406700
11.05.2016	4192710974928846300
12.05.2016	7024807811890945000
13.05.2016	7290131418873129000
14.05.2016	2557721917805084700
15.05.2016	2375850539443956000
16.05.2016	2571276097710727000
17.05.2016	3119386272135847400
18.05.2016	2978849336864204000
19.05.2016	2708927329250797000
20.05.2016	2393380689749053400
21.05.2016	2328861540530325000
22.05.2016	2908480188449048000
23.05.2016	2651731740333198000
24.05.2016	3578678780276050400
25.05.2016	3785471341279963000
26.05.2016	8164037635321585000
27.05.2016	-7591589822673361000
28.05.2016	7585231667032363000
29.05.2016	5605642807456499000
30.05.2016	3202799727273541000
31.05.2016	2598821815343080400
01.06.2016	4234477724940650000
02.06.2016	2543400702390363000
03.06.2016	3127173052502495000
04.06.2016	2180462292385820000
05.06.2016	2864852470437143600
06.06.2016	3655358772029692000
07.06.2016	1789578498238805000
08.06.2016	2129307382575747000
09.06.2016	2985640308263397000
10.06.2016	2039937512759473400
11.06.2016	2309383189247538700
12.06.2016	2694049108402298000
13.06.2016	2414268514603179500
14.06.2016	7459977917787771000
15.06.2016	6966793533790300000
16.06.2016	4647819907725762000
17.06.2016	3016696048997500400
18.06.2016	5418897368880381000
19.06.2016	3938565898567714000
20.06.2016	2770290759914196000
21.06.2016	3107179241568226000
